Player,Salary
Juan Hernangómez,6493000
Julius Randle,18900000
Justin Anderson,125000
Justin Holiday,5720400
Justin Jackson,5029650
Justin James,1517981
Justise Winslow,13000000
Jusuf Nurki?,12000000
Karl-Anthony Towns,29430000
Kawhi Leonard,34379100
Kelan Martin,1445697
Keldon Johnson,2048040
Kelly Olynyk,12198243
Kelly Oubre Jr.,14375000
Kemba Walker,34379100
Kendrick Nunn,1663861
Kenrich Williams,2000000
Kent Bazemore,2320044
Kentavious Caldwell-Pope,12073020
Kenyon Martin Jr.,898310
Kevin Durant,39058950
Kevin Huerter,2761920
Kevin Knox,4588680
Kevin Love,31300000
Kevin Porter Jr.,2033160
Kevon Looney,4821429
Khem Birch,3000000
Khris Middleton,33051724
Khyri Thomas,744684
Killian Hayes,5307120
Kira Lewis Jr.,3640200
Klay Thompson,35361360
Kris Dunn,4767000
Kristaps Porzi??is,29467800
Kyle Anderson,9505100
Kyle Kuzma,3562178
Kyle Lowry,30000000
Kyle Singler,999200
Kyrie Irving,33329100
KZ Okpala,1517981
LaMarcus Aldridge,24000000
LaMelo Ball,7839960
Landry Shamet,2090040
Langston Galloway,2028594
Larry Nance Jr.,11709091
Larry Sanders,1865547
Lauri Markkanen,6731508
LeBron James,39219565
Lonnie Walker,2892000
Lonzo Ball,11003782
Lou Williams,8000000
Luguentz Dort,1517981
Luka Don?i?,8049360
Luka Šamani?,2824320
Luke Kennard,5273826
Luke Kornet,2304878
Luol Deng,4990000
Malachi Flynn,1950600
Malcolm Brogdon,20700000
Malik Beasley,13325895
Malik Monk,5345687
Marc Gasol,2564753
Marcus Morris,14883721
Marcus Smart,13446428
Markelle Fultz,12288697
Markieff Morris,2331593
Marko Guduric,2750000
Marquese Chriss,1824003
Marvin Bagley III,8963640
Mason Plumlee,8000000
Matisse Thybulle,2711280
Matt Thomas,1517981
Matthew Dellavedova,2174318
Maurice Harkless,3623000
Maxi Kleber,8250000
Meyers Leonard,9756098
Mfiondu Kabengele,2075880
Michael Carter-Williams,3000000
Michael Porter Jr.,3550800
Mikal Bridges,4359000
Mike Conley,34504132
Mike Muscala,2283034
Mike Scott,5005350
Miles Bridges,3934320
Mirza Teletovi?,3500000
Mitchell Robinson,1663861
Miye Oni,1517981
Mo Bamba,5969040
Monta Ellis,2245400
Monte Morris,1663861
Montrezl Harrell,9258000
Moritz Wagner,2161920
Mychal Mulder,1517981
Myles Turner,18000000
Nassir Little,2210640
Naz Reid,1517981
Nemanja Bjelica,7150000
Nerlens Noel,5000000
Nick Richards,1000000
Nickeil Alexander-Walker,3113160
Nicolas Batum,29695187
Nicolas Batum,29695187
Nicolas Claxton,1517981
Nicolò Melli,4097561
Nikola Joki?,28542009
Nikola Vu?evi?,26000000
Noah Vonleh,263995
Norman Powell,10865952
Norvel Pelle,217845
